source_table,question,response,response_option,scale,value_type,value
Impact of Anxiety on Students,Impact of Anxiety on Students,I did not experience this issue/not applicable,,,count,3338.0
Impact of Anxiety on Students,Impact of Anxiety on Students,"I have experienced this issue, but my academics have not been affected",,,count,3002.0
Impact of Anxiety on Students,Impact of Anxiety on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,3663.0
Impact of Anxiety on Students,Impact of Anxiety on Students,I have experienced this issue and it delayed progress towards my degree,,,count,653.0
Impact of Depression on Students,Impact of Depression on Students,I did not experience this issue/not applicable,,,count,6007.0
Impact of Depression on Students,Impact of Depression on Students,"I have experienced this issue, but my academics have not been affected",,,count,1589.0
Impact of Depression on Students,Impact of Depression on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,2488.0
Impact of Depression on Students,Impact of Depression on Students,I have experienced this issue and it delayed progress towards my degree,,,count,626.0
Impact of Stress on Students,Impact of Stress on Students,I did not experience this issue/not applicable,,,count,1877.0
Impact of Stress on Students,Impact of Stress on Students,"I have experienced this issue, but my academics have not been affected",,,count,3400.0
Impact of Stress on Students,Impact of Stress on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,4639.0
Impact of Stress on Students,Impact of Stress on Students,I have experienced this issue and it delayed progress towards my degree,,,count,799.0
Impact of Anxiety on Students,Impact of Anxiety on Students,I did not experience this issue/not applicable,,,count,0.0
Impact of Anxiety on Students,Impact of Anxiety on Students,"I have experienced this issue, but my academics have not been affected",,,count,0.0
Impact of Anxiety on Students,Impact of Anxiety on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,0.0
Impact of Anxiety on Students,Impact of Anxiety on Students,I have experienced this issue and it delayed progress towards my degree,,,count,0.0
Impact of Depression on Students,Impact of Depression on Students,I did not experience this issue/not applicable,,,count,1.0
Impact of Depression on Students,Impact of Depression on Students,"I have experienced this issue, but my academics have not been affected",,,count,0.0
Impact of Depression on Students,Impact of Depression on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,0.0
Impact of Depression on Students,Impact of Depression on Students,I have experienced this issue and it delayed progress towards my degree,,,count,0.0
Impact of Stress on Students,Impact of Stress on Students,I did not experience this issue/not applicable,,,count,0.0
Impact of Stress on Students,Impact of Stress on Students,"I have experienced this issue, but my academics have not been affected",,,count,0.0
Impact of Stress on Students,Impact of Stress on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,0.0
Impact of Stress on Students,Impact of Stress on Students,I have experienced this issue and it delayed progress towards my degree,,,count,0.0
Impact of Anxiety on Students,Impact of Anxiety on Students,I did not experience this issue/not applicable,,,count,0.31
Impact of Anxiety on Students,Impact of Anxiety on Students,"I have experienced this issue, but my academics have not been affected",,,count,0.28
Impact of Anxiety on Students,Impact of Anxiety on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,0.34
Impact of Anxiety on Students,Impact of Anxiety on Students,I have experienced this issue and it delayed progress towards my degree,,,count,0.06
Impact of Depression on Students,Impact of Depression on Students,I did not experience this issue/not applicable,,,count,0.56
Impact of Depression on Students,Impact of Depression on Students,"I have experienced this issue, but my academics have not been affected",,,count,0.15
Impact of Depression on Students,Impact of Depression on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,0.23
Impact of Depression on Students,Impact of Depression on Students,I have experienced this issue and it delayed progress towards my degree,,,count,0.06
Impact of Stress on Students,Impact of Stress on Students,I did not experience this issue/not applicable,,,count,0.18
Impact of Stress on Students,Impact of Stress on Students,"I have experienced this issue, but my academics have not been affected",,,count,0.32
Impact of Stress on Students,Impact of Stress on Students,I have experienced this issue and it negatively impacted my performance in a class,,,count,0.43
Impact of Stress on Students,Impact of Stress on Students,I have experienced this issue and it delayed progress towards my degree,,,count,0.07
